一级指标编码,一级指标中文名称,二级指标编码,二级指标中文名称,三级指标编码,三级指标中文名称,四级指标编码,四级指标中文名称
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100705,农村居民人均可支配收入
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100706,农村居民人均可支配收入_同比增长
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100707,居民人均消费支出
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100708,居民人均消费支出_同比增长
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100709,城镇居民人均消费支出
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100710,城镇居民人均消费支出_同比增长
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100711,农村居民人均消费支出
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100712,农村居民人均消费支出_同比增长
A01,国民经济指标,A0110,价格指数,A011008,工业生产者出厂价格指数(上年同月=100),A01100801,工业生产者出厂价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011008,工业生产者出厂价格指数(上年同月=100),A01100802,生产资料工业生产者出厂价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011008,工业生产者出厂价格指数(上年同月=100),A01100803,生活资料工业生产者出厂价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011009,工业生产者出厂价格指数(上年同期=100),A01100901,工业生产者出厂价格指数(上年同期=100)
A01,国民经济指标,A0110,价格指数,A011009,工业生产者出厂价格指数(上年同期=100),A01100902,生产资料工业生产者出厂价格指数(上年同期=100)
A01,国民经济指标,A0110,价格指数,A011009,工业生产者出厂价格指数(上年同期=100),A01100903,生活资料工业生产者出厂价格指数(上年同期=100)
A01,国民经济指标,A0110,价格指数,A011010,按工业部门分工业生产者出厂价格指数(上年同月=100),A01101001,冶金工业生产者出厂价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011010,按工业部门分工业生产者出厂价格指数(上年同月=100),A01101002,电力工业生产者出厂价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011010,按工业部门分工业生产者出厂价格指数(上年同月=100),A01101003,煤炭及炼焦工业生产者出厂价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011010,按工业部门分工业生产者出厂价格指数(上年同月=100),A01101004,石油工业生产者出厂价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011010,按工业部门分工业生产者出厂价格指数(上年同月=100),A01101005,化学工业生产者出厂价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011010,按工业部门分工业生产者出厂价格指数(上年同月=100),A01101006,机械工业生产者出厂价格指数(上年同月=100)
